,modelName,features_list,features_size,hyperparameters,scaling_type,no_of_kfolds,comments,r2-score,mae,cohen_kappa_score
0,Linear Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model,73.4483441,0.619365713,0.777644309
1,Linear Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)",standard,3,Vanilla Linear Regression Model with Scaling,73.71152747,0.615385088,0.835047822
2,Linear Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)",minmax,3,Vanilla Linear Regression Model with Scaling,73.71152747,0.615385088,0.835047822
3,Linear Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)",maxabs,3,Vanilla Linear Regression Model with Scaling,73.71152747,0.615385088,0.835047822
4,Linear Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)",standard,3,Vanilla Linear Regression Model with Scaling on Boxcox Target,71.8815856,2.07144744,0.830659956
5,Linear Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)",minmax,3,Vanilla Linear Regression Model with Scaling on Boxcox Target,71.8815856,2.07144744,0.830659956
6,Linear Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)",maxabs,3,Vanilla Linear Regression Model with Scaling on Boxcox Target,71.8815856,2.07144744,0.830659956
7,Lasso Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"{'lasso_regression__alpha': 1e-07, 'polynomial_features__degree': 1}","('none',)",3,Lasso Regression + GridSearchCV,73.48808404,0.619273031,0.828590122
8,Ridge Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"{'polynomial_features__degree': 1, 'ridge_regression__alpha': 1e-09}","('none',)",3,Ridge regression +GridSearchCV,72.19582587,2.079554518,0.83188138
9,Lasso Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)",StandardScaler(),"(0,)",Lasso Regression on Best Parameters,73.74754059,0.615254677,0.836057577
